date;x;y;z
1573728242667;-0.73828439;10.79478483;-3.576753079
1573728242677;-2.735832151;9.141482773;0.662862826
1573728242687;-3.445142696;3.543755676;0.606904641
1573728242697;-2.894020422;-1.76186283;0.822626984
1573728242707;6.89384128;-12.5185865;7.155007391
1573728242717;6.95542451;-11.5011896;6.980482983
1573728242727;5.012715691;-8.679973423;4.680335797
1573728242737;2.615789313;-5.77943902;1.706324178
1573728242747;-2.795370563;1.597542439;2.989285746
1573728242757;-3.262930095;4.174060181;4.475341804
1573728242767;-1.966782713;5.392515814;4.744813161
1573728242777;-0.255657573;5.539843493;3.734559025
1573728242787;0.975336513;5.014144844;-0.046285275
1573728242797;-0.629436715;3.260494189;-0.312840262
1573728242807;-1.668089186;1.045460476;-0.066397519
1573728242817;-1.702220563;-1.829814328;-0.11440959
1573728242827;-0.656923583;-2.153381644;-0.244756575
1573728242837;-0.081174986;-1.921902703;-0.134513697
1573728242847;0.088288914;-1.598813666;0.152878185
1573728242857;-0.28179535;-0.666135894;-0.444644412
1573728242867;-0.041561578;-0.333710565;-0.233132399
1573728242877;1.361133787;0.299977959;0.579638639
1573728242887;2.222800901;0.653700782;0.877428992
1573728242897;2.008084051;-0.595610847;1.498733507
1573728242907;0.794354146;-0.139384643;2.210297574
1573728242917;-0.912128682;0.486085212;2.304539291
1573728242927;-2.261991974;0.404191045;-0.316896274
1573728242937;-2.407186315;0.170123314;-2.41404463
1573728242947;-2.78383106;-0.216327497;-3.325618657
1573728242957;-1.889961195;-0.525488145;-1.572569778
1573728242967;2.05826458;-1.324441724;0.274233301
1573728242977;2.535339329;-1.304719395;0.663750426
1573728242987;1.645199182;-1.380879169;0.684229291
1573728242997;0.565337731;-1.150671963;0.041728049
1573728243007;0.605499088;-0.690694049;-0.456950084
1573728243017;0.576336598;-0.276743472;-0.472820303
1573728243027;0.200580148;-0.068166018;0.295950944
1573728243037;-0.283899714;-0.790031243;1.064196869
1573728243047;-0.165828196;-1.015097275;0.851357495
1573728243057;-0.117339681;-1.103212845;0.481888417
1573728243067;0.105325843;-0.836601648;0.094375804
1573728243077;-0.03832245;0.64848716;0.136792243
1573728243087;-0.704865135;1.254288538;0.262662649
1573728243097;-0.885672885;1.601023756;0.225452995
1573728243107;-1.551297249;1.801797551;0.211008244
1573728243117;-1.210392048;0.966428123;0.383327049
1573728243127;-0.815084688;0.390070599;0.24537004
1573728243137;-0.57545337;0.633836875;0.257587631
1573728243147;-1.088601183;2.008712871;0.80366284
1573728243157;-1.238630352;1.652938925;1.455043462
1573728243167;-1.588496826;1.000570744;1.225326274
1573728243177;-1.209505957;0.233509421;0.643157557
1573728243187;-0.477272353;0.554556561;-0.665336645
1573728243197;0.185129101;1.225112686;-1.129862003
1573728243207;0.852956243;1.577683075;-1.317607683
1573728243217;-1.217673629;2.166196906;-0.686336742
1573728243227;-1.816897845;1.993447179;-0.27325734
1573728243237;-1.238997631;1.027810569;0.118497686
1573728243247;-1.098458618;-0.066479114;0.493193401
1573728243257;-0.878766894;-0.834650729;0.808272754
1573728243267;0.430880642;-0.866917971;-0.226786681
1573728243277;1.40198391;-0.555628493;-1.606458146
1573728243287;2.071606392;0.459547651;-1.974696603
1573728243297;3.373448892;1.869281492;-0.844258521
1573728243307;3.572163855;1.618008202;-0.384271899
1573728243317;3.440000943;1.141177802;0.274852352
1573728243327;2.169730895;0.851650737;2.196534838
1573728243337;1.582555861;1.263589877;2.370143291
1573728243347;1.020878387;1.608464828;1.942083642
1573728243357;0.341693125;1.56258363;0.91010536
1573728243366;-0.554081607;1.403295664;-1.953421649
1573728243377;-0.489233955;1.475064204;-3.554713133
1573728243387;-0.360741389;1.05746683;-4.391382506
1573728243397;0.125124934;-1.329876451;-2.25662884
1573728243407;1.096087839;-2.274409126;-1.054481481
1573728243417;2.286576292;-3.152619036;-0.154055098
1573728243427;2.212333314;-3.334208419;0.734837784
1573728243437;-0.451952559;-3.739968816;1.13949429
1573728243447;-1.709976468;-3.237141832;2.014843646
1573728243457;-2.363969067;-2.788910853;2.914320519
1573728243467;-2.825871546;-2.399680318;2.454039614
1573728243477;-2.582478014;-2.364108421;0.568848642
1573728243487;-2.004690907;-1.784026223;0.041360786
1573728243497;-1.266649073;-1.396575227;0.033088629
1573728243507;0.243157812;-0.688219273;1.91118646
1573728243517;1.573586422;-1.056230707;1.942667201
1573728243527;1.979044976;-1.886941276;1.048478472
1573728243537;2.686484196;-2.949904889;0.624262323
1573728243547;2.746780092;-4.367222476;-0.741744431
1573728243557;2.902277131;-4.443797245;-1.742612292
1573728243567;2.229884449;-3.861495616;-2.497337953
1573728243577;0.772596601;-3.181133841;-2.595463098
1573728243587;-0.301296232;-2.805396215;-3.623982478
1573728243597;-0.792660997;-1.554786886;-3.052414933
1573728243607;-1.001878203;-0.569622322;-2.27338012
1573728243617;-2.057979632;0.800779117;-1.328371492
1573728243627;-2.473819771;1.529351054;-1.568352673
1573728243637;-2.883106453;2.342051934;-2.373253229
1573728243647;-3.08795241;2.961566886;-3.093788054
1573728243657;-2.378424672;5.357217376;-3.777476046
1573728243667;-1.534990333;6.369686559;-2.991335085
1573728243677;-1.197346514;7.348214305;-2.561619703
